task,data_id,et_cm,er_deg,ej_cm,eft_cm,n_frames,success
S10013-0001-0002,0,5.6753,27.4555,4.0423,3.9250,61,0
S10013-0001-0003,0,11.6296,40.2473,4.1067,4.0194,37,0
S10014-0001-0001,0,11.7922,78.4199,5.3615,5.4871,47,0
S10014-0001-0002,0,3.8366,11.2027,3.3420,3.1086,71,0
S10014-0001-0003,0,7.0085,6.9052,3.6151,3.3237,41,0
S10015-0001-0001,0,2.1943,12.4384,3.7074,3.3854,60,1
S10015-0001-0002,0,9.5558,48.1005,6.3137,6.1054,100,0
S10015-0001-0003,0,9.8176,49.6700,4.3079,4.1696,51,0
S10016-0001-0001,0,1.6008,2.6490,2.6075,2.4551,50,1
S10016-0001-0002,0,6.1103,27.6707,3.6795,3.6312,65,0
S10016-0001-0003,0,2.9017,11.2354,4.7599,4.6932,45,1
S10017-0001-0001,0,1.7291,8.6090,3.3763,3.2815,60,1
S10017-0001-0002,0,8.1503,30.6260,3.1963,3.0264,65,0
S10017-0001-0003,0,9.2762,25.5476,6.0238,6.0577,45,0
S10018-0001-0000,0,7.2589,16.2667,5.2735,5.0735,46,0
S10018-0001-0001,0,2.5264,4.7143,3.0925,3.0869,56,1
S10018-0001-0002,0,7.8989,11.4950,5.2799,5.1987,91,0
S10018-0001-0003,0,6.5434,18.1425,5.4976,5.1526,36,0
S10019-0001-0001,0,4.6893,4.3721,5.9380,5.7980,46,0
S10019-0001-0002,0,0.8226,1.4870,2.9463,2.6581,91,1
S10019-0001-0003,0,3.6392,12.1800,6.2727,6.1913,51,0
S10020-0001-0001,0,7.6355,43.4898,3.3492,3.3352,51,0
S10020-0001-0002,0,5.8553,10.4738,4.0020,3.8821,86,0
S10020-0001-0003,0,3.4570,10.0149,4.4284,4.1999,41,0
S10021-0001-0000,0,5.0218,6.6661,5.7808,5.5727,40,0
S10021-0001-0001,0,1.4172,2.8668,3.1932,3.2307,68,1
S10021-0001-0002,0,1.7840,4.1479,3.5434,3.6421,66,1
S10021-0001-0003,0,4.4189,11.1636,5.6140,5.6654,49,0
S10022-0001-0001,0,4.6296,28.6975,3.2870,3.2194,57,0
S10022-0001-0002,0,5.9371,10.9727,5.1806,5.0456,109,0
S10022-0001-0003,0,4.2049,10.3757,4.1584,4.1645,45,0
S10023-0001-0001,0,4.2419,12.5480,5.4888,5.3200,56,0
S10023-0001-0002,0,5.4049,5.6723,6.9932,6.9035,79,0
S10023-0001-0003,0,2.5625,9.5730,4.0924,3.6689,51,1
S10024-0001-0001,0,1.9650,7.1492,2.7785,2.7217,68,1
S10024-0001-0002,0,0.6929,3.3089,2.6099,2.5404,101,1
S10024-0001-0003,0,3.5296,14.3681,4.5383,4.3984,51,0
S15004-0001-0007,0,1.5006,8.0548,2.3102,2.3309,81,1
S15004-0001-0008,0,4.5143,23.7696,4.8084,4.8898,90,0
S16001-0001-0005,0,5.1413,6.7369,4.3046,4.1194,69,0
S16001-0001-0006,0,1.5907,5.2082,2.9957,2.7110,61,1
S16002-0001-0005,0,7.6599,50.3414,4.6727,4.4695,69,0
S16002-0001-0006,0,1.4671,5.9442,3.4902,3.3630,67,1
S16005-0001-0002,0,9.9649,18.8524,7.1979,6.8780,61,0
S16005-0001-0004,0,1.3354,4.2388,2.6216,2.5533,78,1
S20001-0001-0009,0,1.8278,7.1409,3.5820,3.3543,85,1
S20001-0001-0010,0,5.2352,11.1230,4.1001,4.0285,41,0
S20005-0001-0009,0,5.6439,42.2634,5.6798,5.4780,60,0
S20005-0001-0010,0,6.1805,24.5222,4.0150,3.7985,55,0
S20021-0001-0009,0,9.6590,43.5438,6.3734,6.3132,71,0
S20021-0001-0010,0,6.2893,70.3629,4.3921,4.4975,55,0
S20022-0001-0009,0,6.3726,36.4526,4.6279,4.6936,51,0
S20022-0001-0010,0,4.1776,13.0349,4.5638,4.4911,40,0
Y03006-0001-0007,0,4.6769,6.1011,4.5730,4.4584,51,0
